LOG VERSION：4.00
テストプログラム：Software Version 2.4.0.31
機種名：WXRJPAF1001S//
ロットＮｏ：R225L000000
ＯＰＩＤ：8094
ホストＩＤ：EK34
ハンドラ：EK34
開始時刻：2025年12月08日10時55分
日付,TEST_TIME,EQUIPMENT_ID,OPERATOR_ID,INNER_LOT,INNER_DEVICE,ASSEMBLY_LOT,ASSEMBLY_DEVICE,STATION_ID,DATE_CODE,VCM_ID,CHECK_RESULT,CATEGORY,INFD_PROGRAM1,INFD_DEVICE_NAME1,INFD_LOT_ID1,INFD_TESTER_ID1,INFD_OPERATOR1,INFD_RESULT1,INFD_CHIP_ID1,INFD_PROGRAM2,INFD_DEVICE_NAME2,INFD_LOT_ID2,INFD_TESTER_ID2,INFD_OPERATOR2,INFD_RESULT2,INFD_CHIP_ID2,CHECK_TIME,TEST_MODE,OPTION_FLAG(lot_dev_config_contami_week_infd_vcmid_serial),TRAY_NO,TRAY_X,TRAY_Y
2025/12/08,10:58:48,EK34,8094,R225L000000,WXRJPAF1001S//,M225L000030,WXRJPAF1001S//,Station01,DNL541602052FK30P,,1,1,RJ63AEPAFVER118PT_INL_BLM,WXRJPAF1001S//,M225L000030,TSBL01,71066,1,SONYID_L4B6D45W21ID1876,-1,-1,-1,-1,-1,-1,-1,189086.8012,Normal Mode,1_1_1_1_1_0_1,1,1,1
2025/12/08,10:58:48,EK34,8094,R225L000000,WXRJPAF1001S//,M225L000030,WXRJPAF1001S//,Station01,DNL5416020P2FK305,,1,1,RJ63AEPAFVER118PT_INL_BLM,WXRJPAF1001S//,M225L000030,TSBL01,71066,1,SONYID_L4B6D45W21ID2207,-1,-1,-1,-1,-1,-1,-1,189086.8012,Normal Mode,1_1_1_1_1_0_1,1,2,1
2025/12/08,10:58:48,EK34,8094,R225L000000,WXRJPAF1001S//,M225L000030,WXRJPAF1001S//,Station01,DNL5416021E2FK30B,,1,1,RJ63AEPAFVER118PT_INL_BLM,WXRJPAF1001S//,M225L000030,TSBL01,71066,1,SONYID_L4B6D45W21ID1676,-1,-1,-1,-1,-1,-1,-1,189086.8012,Normal Mode,1_1_1_1_1_0_1,1,3,1
2025/12/08,10:58:48,EK34,8094,R225L000000,WXRJPAF1001S//,M225L000030,WXRJPAF1001S//,Station01,DNL5416021A2FK30F,,1,1,RJ63AEPAFVER118PT_INL_BLM,WXRJPAF1001S//,M225L000030,TSBL01,71066,1,SONYID_L4B6D45W20ID1061,-1,-1,-1,-1,-1,-1,-1,189086.8012,Normal Mode,1_1_1_1_1_0_1,1,4,1
2025/12/08,10:58:48,EK34,8094,R225L000000,WXRJPAF1001S//,M225L000030,WXRJPAF1001S//,Station01,DNL5416020A2FK30J,,1,1,RJ63AEPAFVER118PT_INL_BLM,WXRJPAF1001S//,M225L000030,TSBL01,71066,1,SONYID_L4B6D45W21ID1823,-1,-1,-1,-1,-1,-1,-1,189086.8012,Normal Mode,1_1_1_1_1_0_1,1,5,1
2025/12/08,10:58:48,EK34,8094,R225L000000,WXRJPAF1001S//,M225L000030,WXRJPAF1001S//,Station01,DNL5416020J2FK30A,,1,1,RJ63AEPAFVER118PT_INL_BLM,WXRJPAF1001S//,M225L000030,TSBL01,71066,1,SONYID_L4B6D45W21ID1259,-1,-1,-1,-1,-1,-1,-1,189086.8012,Normal Mode,1_1_1_1_1_0_1,1,6,1
2025/12/08,10:58:48,EK34,8094,R225L000000,WXRJPAF1001S//,M225L000030,WXRJPAF1001S//,Station01,DNL541602112FK30Q,,1,1,RJ63AEPAFVER118PT_INL_BLM,WXRJPAF1001S//,M225L000030,TSBL01,71066,1,SONYID_L4B6D45W21ID1008,-1,-1,-1,-1,-1,-1,-1,189086.8012,Normal Mode,1_1_1_1_1_0_1,1,1,2
2025/12/08,10:58:48,EK34,8094,R225L000000,WXRJPAF1001S//,M225L000030,WXRJPAF1001S//,Station01,DNL5416021B2FK30E,,1,1,RJ63AEPAFVER118PT_INL_BLM,WXRJPAF1001S//,M225L000030,TSBL01,71066,1,SONYID_L4B6D45W21ID1574,-1,-1,-1,-1,-1,-1,-1,189086.8012,Normal Mode,1_1_1_1_1_0_1,1,2,2
2025/12/08,10:58:48,EK34,8094,R225L000000,WXRJPAF1001S//,M225L000030,WXRJPAF1001S//,Station01,DNL5416020X2FK30X,,1,1,RJ63AEPAFVER118PT_INL_BLM,WXRJPAF1001S//,M225L000030,TSBL01,71066,1,SONYID_L4B6D45W21ID0910,-1,-1,-1,-1,-1,-1,-1,189086.8012,Normal Mode,1_1_1_1_1_0_1,1,3,2
2025/12/08,10:58:48,EK34,8094,R225L000000,WXRJPAF1001S//,M225L000030,WXRJPAF1001S//,Station01,DNL5416020B2FK30H,,1,1,RJ63AEPAFVER118PT_INL_BLM,WXRJPAF1001S//,M225L000030,TSBL01,71066,1,SONYID_L4B6D45W20ID1161,-1,-1,-1,-1,-1,-1,-1,189086.8012,Normal Mode,1_1_1_1_1_0_1,1,4,2
